Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
503798,22436,12 COLOURED PARTY BALLOONS,12,2010-04-07T13:34:00Z,6,15521,United Kingdom
503853,22436,12 COLOURED PARTY BALLOONS,20,2010-04-08T09:56:00Z,6,15358,United Kingdom
503856,22436,12 COLOURED PARTY BALLOONS,20,2010-04-08T10:19:00Z,6,17426,United Kingdom
503869,22436,12 COLOURED PARTY BALLOONS,20,2010-04-08T11:20:00Z,6,17677,United Kingdom
504157,22436,12 COLOURED PARTY BALLOONS,10,2010-04-11T15:34:00Z,6,17221,United Kingdom
504413,22436,12 COLOURED PARTY BALLOONS,20,2010-04-13T12:27:00Z,6,13089,United Kingdom
504594,22436,12 COLOURED PARTY BALLOONS,4,2010-04-15T10:49:00Z,6,15910,United Kingdom
504695,22436,12 COLOURED PARTY BALLOONS,10,2010-04-15T17:06:00Z,6,17799,United Kingdom
505178,22436,12 COLOURED PARTY BALLOONS,10,2010-04-20T13:48:00Z,6,17861,United Kingdom
505189,22436,12 COLOURED PARTY BALLOONS,20,2010-04-20T15:32:00Z,6,13485,United Kingdom
505351,22436,12 COLOURED PARTY BALLOONS,10,2010-04-21T14:17:00Z,6,17884,United Kingdom
505634,22436,12 COLOURED PARTY BALLOONS,5,2010-04-23T13:12:00Z,6,15518,United Kingdom
505854,22436,12 COLOURED PARTY BALLOONS,1,2010-04-26T12:51:00Z,6,14563,United Kingdom
506442,22436,12 COLOURED PARTY BALLOONS,3,2010-04-29T16:45:00Z,6,16520,United Kingdom
507223,22436,12 COLOURED PARTY BALLOONS,10,2010-05-06T19:29:00Z,6,17323,United Kingdom
507256,22436,12 COLOURED PARTY BALLOONS,1,2010-05-07T11:42:00Z,6,17798,United Kingdom
507385,22436,12 COLOURED PARTY BALLOONS,20,2010-05-09T12:05:00Z,6,17332,United Kingdom
507417,22436,12 COLOURED PARTY BALLOONS,20,2010-05-09T14:35:00Z,6,13425,United Kingdom
507479,22436,12 COLOURED PARTY BALLOONS,20,2010-05-10T11:33:00Z,6,15298,United Kingdom
507889,22436,12 COLOURED PARTY BALLOONS,1,2010-05-11T16:35:00Z,6,15862,United Kingdom
507889,22436,12 COLOURED PARTY BALLOONS,2,2010-05-11T16:35:00Z,6,15862,United Kingdom
508079,22436,12 COLOURED PARTY BALLOONS,10,2010-05-12T16:42:00Z,6,17092,United Kingdom
508854,22436,12 COLOURED PARTY BALLOONS,1,2010-05-18T15:13:00Z,10,NA,United Kingdom
508998,22436,12 COLOURED PARTY BALLOONS,6,2010-05-19T13:07:00Z,6,14598,United Kingdom
509001,22436,12 COLOURED PARTY BALLOONS,6,2010-05-19T13:22:00Z,6,15581,United Kingdom
509100,22436,12 COLOURED PARTY BALLOONS,5,2010-05-20T11:49:00Z,6,17841,United Kingdom
509151,22436,12 COLOURED PARTY BALLOONS,10,2010-05-20T13:06:00Z,6,14606,United Kingdom
509155,22436,12 COLOURED PARTY BALLOONS,10,2010-05-20T13:18:00Z,6,17758,United Kingdom
509161,22436,12 COLOURED PARTY BALLOONS,6,2010-05-20T13:42:00Z,6,14850,United Kingdom
509311,22436,12 COLOURED PARTY BALLOONS,20,2010-05-21T12:06:00Z,6,13089,United Kingdom
509455,22436,12 COLOURED PARTY BALLOONS,20,2010-05-24T10:09:00Z,2,17448,United Kingdom
509476,22436,12 COLOURED PARTY BALLOONS,20,2010-05-24T11:21:00Z,2,17448,United Kingdom
509567,22436,12 COLOURED PARTY BALLOONS,20,2010-05-24T13:07:00Z,2,17448,United Kingdom
510173,22436,12 COLOURED PARTY BALLOONS,20,2010-05-27T14:40:00Z,6,18257,United Kingdom
510495,22436,12 COLOURED PARTY BALLOONS,1,2010-06-01T12:37:00Z,6,NA,United Kingdom
510505,22436,12 COLOURED PARTY BALLOONS,20,2010-06-01T12:44:00Z,6,14227,United Kingdom
510550,22436,12 COLOURED PARTY BALLOONS,1,2010-06-01T16:13:00Z,6,NA,United Kingdom
510552,22436,12 COLOURED PARTY BALLOONS,1,2010-06-01T16:17:00Z,6,NA,United Kingdom
510675,22436,12 COLOURED PARTY BALLOONS,5,2010-06-02T16:20:00Z,6,17841,United Kingdom
511051,22436,12 COLOURED PARTY BALLOONS,4,2010-06-06T12:13:00Z,6,12911,United Kingdom
511123,22436,12 COLOURED PARTY BALLOONS,10,2010-06-07T10:56:00Z,6,17673,United Kingdom
511481,22436,12 COLOURED PARTY BALLOONS,6,2010-06-08T14:00:00Z,6,15353,United Kingdom
511817,22436,12 COLOURED PARTY BALLOONS,1,2010-06-10T16:13:00Z,6,NA,United Kingdom
511864,22436,12 COLOURED PARTY BALLOONS,3,2010-06-11T10:23:00Z,6,15910,United Kingdom
511959,22436,12 COLOURED PARTY BALLOONS,20,2010-06-11T13:20:00Z,6,15521,United Kingdom
512453,22436,12 COLOURED PARTY BALLOONS,3,2010-06-15T17:02:00Z,6,NA,United Kingdom
512455,22436,12 COLOURED PARTY BALLOONS,20,2010-06-16T08:54:00Z,6,12957,United Kingdom
